,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
62,Cardi B,Please Me,Please Me,0PG9fbaaHFHfre2gUVo7AN,0.747,0.57,1,-6.711,1,0.081,0,0.0832,0.65,133.992,200890,4
63,Anuel AA,Secreto,Secreto,5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,11,-4.156,1,0.126,0.00853,0.136,0.706,91.987,258800,4
64,Lunay,Épico,Soltera - Remix,4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5,-4.271,1,0.0432,0,0.437,0.799,92.01,266087,4
65,Marshmello,Here With Me,Here With Me,5icOoE6VgqFKohjWWNp0Ac,0.791,0.565,5,-3.933,0,0.0439,0,0.156,0.181,99.961,156347,4
66,Sam Smith,How Do You Sleep?,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0,0.0763,0.345,110.567,202205,5
67,Lizzo,Cuz I Love You (Super Deluxe),Good as Hell,6KgBpzTuTRPebChN0VTyzV,0.682,0.919,0,-3.18,0,0.0875,0,0.442,0.535,95.982,159736,4
68,A Boogie Wit da Hoodie,Hoodie SZN,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,9,-5.239,1,0.303,0,0.111,0.434,93.023,189487,4
69,Ed Sheeran,No.6 Collaborations Project,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,0.798,0.676,6,-5.041,1,0.0442,0,0.0894,0.843,101.956,219947,4
70,Pedro Capó,Calma (Remix),Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,11,-4.218,0,0.0524,0,0.143,0.761,126.899,238200,4
71,DJ Snake,Carte Blanche,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0KoiMHhqKLoL4xM54rcWYY,0.842,0.801,8,-4.167,0,0.228,4.82e-06,0.0642,0.617,95.881,212500,4
72,Marshmello,One Thing Right,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,0.659,0.625,4,-2.253,1,0.045,0,0.582,0.442,88.042,181824,4
73,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Grace,0pEkK8MqbmGSX7fT8WLMbR,0.722,0.565,4,-5.848,1,0.0335,0,0.165,0.488,104.483,185658,4
74,Queen,A Night At The Opera (Deluxe Remastered Version),Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0,0.243,0.228,143.883,354320,4
75,Ed Sheeran,No.6 Collaborations Project,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,0.64,0.647,5,-8.114,0,0.186,0,0.0801,0.546,92.979,197867,4
76,Cardi B,Money,Money,2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,8,-6.508,0,0.29,0,0.11,0.219,130.003,183527,4
77,A Boogie Wit da Hoodie,Hoodie SZN,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,3,-5.075,0,0.0413,0,0.148,0.536,96.057,179449,4
78,iann dior,nothings ever good enough,emotions,5ls62WNKHUUrdF3r1cv83T,0.63,0.63,9,-6.211,1,0.0395,0,0.142,0.163,80.512,131213,4
79,NLE Choppa,Cottonwood,Shotta Flow (feat. Blueface) [Remix],5BJMeoCXXgbRAWfp6fTulr,0.894,0.511,2,-4.768,1,0.421,0,0.14,0.567,120.077,176632,4
80,Shawn Mendes,If I Can't Have You,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,0.692,0.809,2,-4.198,1,0.0602,0,0.147,0.864,123.911,190800,4
81,Calvin Harris,Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,1,-4.311,0,0.0361,0.000503,0.0811,0.606,122.015,229184,4
82,Jonas Brothers,Happiness Begins,Only Human,0DiDStADDVh3SvAsoJAFMk,0.795,0.496,0,-5.883,1,0.0722,0,0.0645,0.874,94.01,183000,4
83,Sech,Sueños,Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,0.746,0.7,0,-4.669,1,0.341,0.000159,0.11,0.619,176.044,225933,4
84,Ava Max,Heaven & Hell,So Am I,2Xnv3GntqbBH1juvUYSpHG,0.681,0.657,6,-4.671,1,0.0432,0,0.353,0.628,130.089,183027,4
85,Avicii,TIM,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,0.802,0.645,5,-6.181,0,0.0715,0,0.119,0.376,100.001,157202,4
86,Lil Nas X,Panini,Panini,1000nHvUdawXuUHgBod4Wv,0.703,0.594,5,-6.146,0,0.0752,0,0.123,0.475,153.848,114893,4
87,DaBaby,Baby On Baby,Suge,2gwkD6igEhQbDQegRCcdoB,0.876,0.662,2,-6.482,0,0.426,0,0.127,0.844,75.445,163320,4
88,Khalid,Free Spirit,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,0.9,0.4,0,-8.575,1,0.127,0,0.0599,0.346,135.984,197573,4
89,Katy Perry,Never Really Over,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,8,-4.792,1,0.0602,0,0.316,0.385,99.991,223523,4
90,Paulo Londra,Homerun,Adan y Eva,132ALUzVLmqYB4UsBj5qD6,0.767,0.709,1,-4.47,1,0.336,0,0.0745,0.72,171.993,256972,4
91,Saweetie,ICY,My Type,5KBARWIxeMGkvUax9VtVC9,0.899,0.811,2,-6.294,1,0.258,0,0.0672,0.587,105.038,126446,4
92,Flipp Dinero,LOVE FOR GUALA,Leave Me Alone,6V7g6qM8wheMivMWrzbPTM,0.792,0.743,7,-2.806,1,0.0851,0,0.183,0.742,150.024,195637,4
93,Normani,Motivation,Motivation,0rIAC4PXANcKmitJfoqmVm,0.599,0.887,4,-3.967,1,0.0984,1.21e-06,0.3,0.881,170.918,193837,4
94,Lauv,~how i'm feeling~,i'm so tired...,7LpMG3AEaIJgs62HQhAa91,0.548,0.735,11,-7.572,1,0.236,0,0.195,0.498,101.252,162587,4
95,Mabel,High Expectations,Mad Love,6ImEBuxsbuTowuHmg3Z2FO,0.623,0.796,0,-2.981,0,0.199,0,0.115,0.607,197.524,169813,4
96,AJ Tracey,AJ Tracey,Ladbroke Grove,7AODNxFNPnKaz4hURLzw5l,0.902,0.839,11,-9.447,0,0.208,0,0.102,0.727,133.989,190537,4
97,Miley Cyrus,Slide Away,Slide Away,44ADyYoY5liaRa3EOAl4uf,0.53,0.538,5,-6.672,1,0.0335,2.83e-06,0.248,0.288,148.051,233654,4
98,Offset,FATHER OF 4,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,0.919,0.622,1,-7.384,1,0.0997,4.24e-06,0.122,0.424,140.022,205803,4
99,5 Seconds of Summer,CALM,Easier,2bjUEg4jBtKBlPdNrTAppI,0.562,0.46,5,-4.173,1,0.259,0,0.107,0.623,176.055,158099,4
